"BK_CLIENTE","COD_CLIENTE","LOJA_CLIENTE","NOME_CLIENTE","SEGMENTACAO_ATIVIDADE_1","INSTANCIA"
"P |01|SA1T10|D MG|1313201","13132 ","01","CLIENTE 13132                           ","      ","01"
"P |01|SA1T10|D MG|1322201","13222 ","01","CLIENTE FINR510                         ","      ","01"
"P |01|SA1T10|D MG|1370301","13703 ","01","CLIENTE FINR133                         ","      ","01"
"P |01|SA1T10|D MG|1374201","13742 ","01","CLIENTE F500 DESCONTO INCONDICIONAL.    ","      ","01"
"P |01|SA1T10|D MG|14117901","141179","01","CLIENTE TESTE FINA060                   ","      ","01"
"P |01|SA1T10|D MG|1419001","14190 ","01","JOAO GERALDO DE SOUZA                   ","      ","01"
"P |01|SA1T10|D MG|1533301","15333 ","01","CLIENTE TESTE FINR190 CONVERSAO DE MOEDA","      ","01"
"P |01|SA1T10|D MG|2573601","25736 ","01","CLIENTE 25736                           ","      ","01"
"P |01|SA1T10|D MG|2609301","26093 ","01","CLIENTE PCC BX + IRRF EMISS             ","      ","01"
"P |01|SA1T10|D MG|300401","3004  ","01","KATIA MARCHENA                          ","      ","01"
"P |01|SA1T10|D MG|8800101","88001 ","01","CLIENTE PCC E IR NA BAIXA               ","      ","01"
"P |01|SA1T10|D MG|993001","9930  ","01","CLIENTE IRRF EMISSAO E PCC NA BAIXA.    ","      ","01"
"P |01|SA1T10|D MG|997TEC01","997TEC","01","CARMO IDENIZACAO 02                     ","      ","01"
"P |01|SA1T10|D MG|998TEC01","998TEC","01","CARMO IDENIZACAO 01                     ","      ","01"
"P |01|SA1T10|D MG|999TEC01","999TEC","01","CLIENTE CARMO                           ","      ","01"
"P |01|SA1T10|D MG|AF12TR01","AF12TR","01","CLIENTE TIR ATF012                      ","      ","01"
"P |01|SA1T10|D MG|AGR00101","AGR001","01","FAZENDA ABC (TESTE CAD. ENTIDADE)       ","      ","01"
"P |01|SA1T10|D MG|AGR00201","AGR002","01","BUNGE ALIMENTOS                         ","      ","01"
"P |01|SA1T10|D MG|AGR00301","AGR003","01","BRF S.A                                 ","      ","01"
"P |01|SA1T10|D MG|AGR00401","AGR004","01","CLIENTE EMPRESA                         ","      ","01"
"P |01|SA1T10|D MG|AGR01001","AGR010","01","NAO USAR - AUTOMACAO                    ","      ","01"
"P |01|SA1T10|D MG|ALOCTE01","ALOCTE","01","CLIENTE ALOCACAO AUTOMATICA GS          ","      ","01"
"P |01|SA1T10|D MG|AMAZON01","AMAZON","01","AGRO AMAZONIA                           ","      ","01"
"P |01|SA1T10|D MG|API00101","API001","01","CLIENTE API INCLUSAO                    ","      ","01"
"P |01|SA1T10|D MG|API00201","API002","01","CLIENTE API ALTERACAO                   ","      ","01"
"P |01|SA1T10|D MG|API00301","API003","01","CLIENTE API EXCLUSAO                    ","      ","01"
"P |01|SA1T10|D MG|API00501","API005","01","API 005 MANUT.COMISSAO ALTERA           ","      ","01"
"P |01|SA1T10|D MG|API00601","API006","01","API006 MANUT.COMISSAO DELETA            ","      ","01"
"P |01|SA1T10|D MG|API00701","API007","01","API007 - MATS030 - ALTERAR              ","      ","01"
"P |01|SA1T10|D MG|API00801","API008","01","API008 - MATS030 - DELETAR              ","      ","01"
"P |01|SA1T10|D MG|APIDEL01","APIDEL","01","TESTE API DEL CUSTOMERVENDOR            ","      ","01"
"P |01|SA1T10|D MG|APIPUT01","APIPUT","01","TESTE API PUT CUSTOMERVENDOR            ","      ","01"
"P |01|SA1T10|D MG|ATF00401","ATF004","01","FIL D MG 02 TRANSF. ATF                 ","      ","01"
"P |01|SA1T10|D MG|AUT00001","AUT000","01","AUTOMACAO DE NATUREZA                   ","      ","01"
"P |01|SA1T10|D MG|AUT00101","AUT001","01","PJ S/ IMPOSTOS                          ","      ","01"
"P |01|SA1T10|D MG|AUT00801","AUT008","01","AUTOMACAO                               ","      ","01"
"P |01|SA1T10|D MG|AUT01001","AUT010","01","AUTOMACAO 010                           ","      ","01"
"P |01|SA1T10|D MG|BETIM01","BETIM ","01","LOJA BETIM                              ","      ","01"
"P |01|SA1T10|D MG|BOIANI01","BOIANI","01","CLIENTE BOIANI                          ","      ","01"
"P |01|SA1T10|D MG|C0000001","C00000","01","CONTROLADORIA                           ","      ","01"
"P |01|SA1T10|D MG|C0400101","C04001","01","SEM IMPOSTOS                            ","      ","01"
"P |01|SA1T10|D MG|C1030501","C10305","01","CLIENTE 103 TIR 05                      ","      ","01"
"P |01|SA1T10|D MG|C1234501","C12345","01","CLIENTE RM INTEGRACAO                   ","      ","01"
"P |01|SA1T10|D MG|C1619001","C16190","01","DSERFINR-16190                          ","      ","01"
"P |01|SA1T10|D MG|C4600101","C46001","01","CLIENTE COM RETENCAO DE IRRF PCC        ","      ","01"
"P |01|SA1T10|D MG|CCC00101","CCC001","01","CLIENTE BLOQUEADO TMK - ALTERACAO       ","      ","01"
"P |01|SA1T10|D MG|CCC00201","CCC002","01","CLIENTE BLOQUEADO TMK - EXCLUSAO        ","      ","01"
"P |01|SA1T10|D MG|CCGS0101","CCGS01","01","CLIENTE CCGS 001                        ","      ","01"
"P |01|SA1T10|D MG|CCGS0201","CCGS02","01","CLIENTE CCGS 002                        ","      ","01"
"P |01|SA1T10|D MG|CCGS0301","CCGS03","01","CLIENTE CCGS 003                        ","      ","01"
"P |01|SA1T10|D MG|CCGS0401","CCGS04","01","CLIENTE CCGS 004                        ","      ","01"
"P |01|SA1T10|D MG|CHON1001","CHON10","01","CHON10                                  ","      ","01"
"P |01|SA1T10|D MG|CHOND101","CHOND1","01","CLIENTE H0NDA 01                        ","      ","01"
"P |01|SA1T10|D MG|CHOND201","CHOND2","01","CLIENTE HONDA02                         ","      ","01"
"P |01|SA1T10|D MG|CHOND301","CHOND3","01","CLIENTE HONDA 03                        ","      ","01"
"P |01|SA1T10|D MG|CHOND401","CHOND4","01","CLIENTE HONDA 04                        ","      ","01"
"P |01|SA1T10|D MG|CHOND601","CHOND6","01","HONDA 06                                ","      ","01"
"P |01|SA1T10|D MG|CHOND701","CHOND7","01","HONDA 07                                ","      ","01"
"P |01|SA1T10|D MG|CHOND801","CHOND8","01","HONDA 08                                ","      ","01"
"P |01|SA1T10|D MG|CHOND901","CHOND9","01","HONDA 09                                ","      ","01"
"P |01|SA1T10|D MG|CL002301","CL0023","01","JAO DO PULO                             ","      ","01"
"P |01|SA1T10|D MG|CL002401","CL0024","01","JAO DA NEVES                            ","      ","01"
"P |01|SA1T10|D MG|CL002501","CL0025","01","JULIO PEDRO                             ","      ","01"
"P |01|SA1T10|D MG|CL002601","CL0026","01","EMILIO ROMANO                           ","      ","01"
"P |01|SA1T10|D MG|CL050001","CL0500","01","CLIENTE0 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CL150001","CL1500","01","CLIENTE1 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CL250001","CL2500","01","CLIENTE2 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CL350001","CL3500","01","CLIENTE3 - GTP500                       ","      ","01"
"P |01|SA1T10|D MG|CL450001","CL4500","01","CLIENTE4 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CL550001","CL5500","01","CLIENTE5 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CL550A01","CL550A","01","AUTOMACAO FINR550                       ","      ","01"
"P |01|SA1T10|D MG|CL550B01","CL550B","01","AUTOMACAO FINR550                       ","      ","01"
"P |01|SA1T10|D MG|CL550C01","CL550C","01","AUTOMACAO FINR550                       ","      ","01"
"P |01|SA1T10|D MG|CL550C02","CL550C","02","AUTOMACAO FINR550                       ","      ","01"
"P |01|SA1T10|D MG|CL650001","CL6500","01","CLIENTE6 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CL750001","CL7500","01","CLIENTE7 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CL850001","CL8500","01","CLIENTE8 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CL950001","CL9500","01","CLIENTE9 - GTPA500                      ","      ","01"
"P |01|SA1T10|D MG|CLI00101","CLI001","01","CLIENTE TESTE OMS                       ","      ","01"
"P |01|SA1T10|D MG|CLI00301","CLI003","01","CLIENTE 003                             ","      ","01"
"P |01|SA1T10|D MG|CLI21501","CLI215","01","CLIENTE PCC BAIXA - MOTOR               ","      ","01"
"P |01|SA1T10|D MG|CLI33001","CLI330","01","CLIENTE 330 PCC E IRRF                  ","      ","01"
"P |01|SA1T10|D MG|CLI55001","CLI550","01","AUTOMACAO FINR550 - RAZONETE            ","      ","01"
"P |01|SA1T10|D MG|CLI93201","CLI932","01","Cliente Vendedor 100% na baixa          ","      ","01"
"P |01|SA1T10|D MG|CLIBH01","CLIBH ","01","CLIENTE BELO HORIZONTE                  ","      ","01"
"P |01|SA1T10|D MG|CLIBLQ01","CLIBLQ","01","CLIENTE BLOQUEADO MOV BANCARIA          ","      ","01"
"P |01|SA1T10|D MG|CLIDEV01","CLIDEV","01","CLIENTE DEVOLUCAO SUP                   ","      ","01"
"P |01|SA1T10|D MG|CLIE0101","CLIE01","01","CLIENTE TESTE RETENCAO ISS              ","      ","01"
"P |01|SA1T10|D MG|CLIEST01","CLIEST","01","CLIENTE ESTOQUE CASO VENDA              ","      ","01"
"P |01|SA1T10|D MG|CLIFT101","CLIFT1","01","CLIENTE FAT FT1                         ","      ","01"
"P |01|SA1T10|D MG|CLIPCC01","CLIPCC","01","PJ COM PCC                              ","      ","01"
"P |01|SA1T10|D MG|CLIRIC01","CLIRIC","01","PIS COFINS E CSLL                       ","      ","01"
"P |01|SA1T10|D MG|CLISUP01","CLISUP","01","CLIENTE SQUAD SUPRIMENTOS               ","      ","01"
"P |01|SA1T10|D MG|CLLC0201","CLLC02","01","CLIENTE LC 02                           ","      ","01"
"P |01|SA1T10|D MG|CN300R01","CN300R","01","CNTA300R CT0159                         ","      ","01"
"P |01|SA1T10|D MG|COL00101","COL001","01","TOTVS COLABORACAO                       ","      ","01"
"P |01|SA1T10|D MG|COL01201","COL012","01","ATAKAREJO DIST ALIM E BEB S.A           ","      ","01"
"P |01|SA1T10|D MG|COM00101","COM001","01","CLIENTE JURIDICO - PADRAO               ","      ","01"
"P |01|SA1T10|D MG|COM00201","COM002","01","PADRAO COMPRAS                          ","      ","01"
"P |01|SA1T10|D MG|COM00301","COM003","01","CLIENTE COMPRAS 03                      ","      ","01"
"P |01|SA1T10|D MG|COM00401","COM004","01","CLIENTE SIGACOM COM004-01               ","      ","01"
"P |01|SA1T10|D MG|COM04401","COM044","01","CLIENTE MATA145 CT002                   ","      ","01"
"P |01|SA1T10|D MG|COM11001","COM110","01","CLIENTE COM 110  PROJETO COMPRAS CT003  ","      ","01"
"P |01|SA1T10|D MG|COM20101","COM201","01","MATA103_CT201                           ","      ","01"
"P |01|SA1T10|D MG|COM99922","COM999","22","COM999_CLIENTE                          ","      ","01"
"P |01|SA1T10|D MG|COMIBX01","COMIBX","01","CLIENTE COM VEND E COMISSAO NA BAIXA    ","      ","01"
"P |01|SA1T10|D MG|COMPAD01","COMPAD","01","COMPRAS PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|CPIX0101","CPIX01","01","CLIENTE PJ SEM IMPOSTOS                 ","      ","01"
"P |01|SA1T10|D MG|CPIX0201","CPIX02","01","CLIENTE PIX COM PCC                     ","      ","01"
"P |01|SA1T10|D MG|CPIX0301","CPIX03","01","CLIENTE PIX PJ PCC, IR EM               ","      ","01"
"P |01|SA1T10|D MG|CPIX0401","CPIX04","01","CLIENTE PIX PJ PCC, IR BX               ","      ","01"
"P |01|SA1T10|D MG|CRLJ1001","CRLJ10","01","CLIENTE LOJA CRLJ10                     ","      ","01"
"P |01|SA1T10|D MG|CRM00101","CRM001","01","VANDERSON PEREIRA PINTO                 ","      ","01"
"P |01|SA1T10|D MG|CRM00201","CRM002","01","CLARENCIO RAFAEL DA SILVA               ","      ","01"
"P |01|SA1T10|D MG|CRM00301","CRM003","01","CLI CRM COM NAT BLQ                     ","      ","01"
"P |01|SA1T10|D MG|CRM04000","CRM040","00","CRMM040 - MOBILE SERVICE TEST 00        ","      ","01"
"P |01|SA1T10|D MG|CRM04100","CRM041","00","CRMM041 - MOBILE SERVICE TEST 01        ","      ","01"
"P |01|SA1T10|D MG|CRM04200","CRM042","00","CRMM042 - MOBILE SERVICE TEST 02        ","      ","01"
"P |01|SA1T10|D MG|CRM10001","CRM100","01","CLIENTE CRM - CRMM100 TEST CASE 01      ","      ","01"
"P |01|SA1T10|D MG|CRM10002","CRM100","02","CLIENTE CRM - CRMM100 TEST CASE 02      ","      ","01"
"P |01|SA1T10|D MG|CRM10003","CRM100","03","CLIENTE CRM - CRMM100 TEST CASE 03/04/05","      ","01"
"P |01|SA1T10|D MG|CRM18001","CRM180","01","CLIENTE FATURAMENTO CT021 - CRMA180     ","      ","01"
"P |01|SA1T10|D MG|CRM60001","CRM600","01","CLIENTE CRM600 OPORT VENDAS             ","      ","01"
"P |01|SA1T10|D MG|CRM70001","CRM700","01","CLIENTE CRM 700 REGRA NEGOCIO           ","      ","01"
"P |01|SA1T10|D MG|CRM70101","CRM701","01","CLIENTE CRM701 OPORTUNIDADE             ","      ","01"
"P |01|SA1T10|D MG|CRM98101","CRM981","01","CLIENTE MVC 06                          ","      ","01"
"P |01|SA1T10|D MG|CRM98201","CRM982","01","CLIENTE MVC 1                           ","      ","01"
"P |01|SA1T10|D MG|CRM98701","CRM987","01","CLIENTE MVC 2                           ","      ","01"
"P |01|SA1T10|D MG|CRM98D01","CRM98D","01","TESTE DE PURCHASE ORDER                 ","      ","01"
"P |01|SA1T10|D MG|CRM98E01","CRM98E","01","CLIENTE MVC 3                           ","      ","01"
"P |01|SA1T10|D MG|CRM98F01","CRM98F","01","CLIENTE MVC 5                           ","      ","01"
"P |01|SA1T10|D MG|CRM98G01","CRM98G","01","CLIENTE MVC 4                           ","      ","01"
"P |01|SA1T10|D MG|CRM98K01","CRM98K","01","TESTES CRM DE VENDEDOR                  ","      ","01"
"P |01|SA1T10|D MG|CRMC0101","CRMC01","01","CRMC01                                  ","      ","01"
"P |01|SA1T10|D MG|CRMEXS01","CRMEXS","01","CLIENTE EXCUSAO SUB GRUPO               ","      ","01"
"P |01|SA1T10|D MG|CRMME201","CRMME2","01","EXCLUSAO MENSAGEM UNICA                 ","      ","01"
"P |01|SA1T10|D MG|CRMMEN01","CRMMEN","01","MENSAGEM UNICA                          ","      ","01"
"P |01|SA1T10|D MG|CRMMS101","CRMMS1","01","MENSAGEM UNICA                          ","      ","01"
"P |01|SA1T10|D MG|CRMMS201","CRMMS2","01","MENSAGEM UNICA                          ","      ","01"
"P |01|SA1T10|D MG|CRMMS301","CRMMS3","01","MENSAGEM UNICA                          ","      ","01"
"P |01|SA1T10|D MG|CRMMS401","CRMMS4","01","MENSAGEM UNICA                          ","      ","01"
"P |01|SA1T10|D MG|CRMOMS01","CRMOMS","01","CLIENTE DE TESTE OMS                    ","      ","01"
"P |01|SA1T10|D MG|CRMRES01","CRMRES","01","CLIENTE CRM REST                        ","      ","01"
"P |01|SA1T10|D MG|CRMSU101","CRMSU1","01","CLIENTE CRMSU1 VINCULADO AO PAI CRMSUB  ","      ","01"
"P |01|SA1T10|D MG|CRMSUB01","CRMSUB","01","CLIENTE CRM SUB GRUPO                   ","      ","01"
"P |01|SA1T10|D MG|CRMTMS01","CRMTMS","01","CLIENTE TESTE TMS                       ","      ","01"
"P |01|SA1T10|D MG|CSA10101","CSA101","01","CLIENTE PJ SEM IMPOSTOS                 ","      ","01"
"P |01|SA1T10|D MG|CSA10201","CSA102","01","CLIENTE PJ COM PCC                      ","      ","01"
"P |01|SA1T10|D MG|CSA10301","CSA103","01","CLIENTE PJ PCC, IR EM, ISS              ","      ","01"
"P |01|SA1T10|D MG|CT041L00","CT041L","00","CLIENTE P CTBAFIN CT041                 ","      ","01"
"P |01|SA1T10|D MG|CTBA0101","CTBA01","01","CLIENTE CTBA01                          ","      ","01"
"P |01|SA1T10|D MG|CTBFIN01","CTBFIN","01","CTBAFIN - SEM IMPOSTOS                  ","      ","01"
"P |01|SA1T10|D MG|CTCART01","CTCART","01","DSERFINR-9622 - CARTA DE COBRANCA       ","      ","01"
"P |01|SA1T10|D MG|CTRL0102","CTRL01","02","CONTROL ATFA321                         ","      ","01"
"P |01|SA1T10|D MG|CTRL0201","CTRL02","01","CONTROL ATFA321                         ","      ","01"
"P |01|SA1T10|D MG|CTRL0301","CTRL03","01","CONTROL ATFA321                         ","      ","01"
"P |01|SA1T10|D MG|CTRL0401","CTRL04","01","CONTROL ATFA321                         ","      ","01"
"P |01|SA1T10|D MG|CTRL0501","CTRL05","01","CONTROL ATFA321                         ","      ","01"
"P |01|SA1T10|D MG|DIVI0101","DIVI01","01","CLIENTE DIVINAL 01 PCC E IR             ","      ","01"
"P |01|SA1T10|D MG|DIVI0102","DIVI01","02","DIVINAL PCC IR LOJA 02                  ","      ","01"
"P |01|SA1T10|D MG|DIVI0201","DIVI02","01","CLIENTE DIVINAL PCC IR INSS ISS         ","      ","01"
"P |01|SA1T10|D MG|DIVI0301","DIVI03","01","CLIENTE DIVINAL 03 PCC IR               ","      ","01"
"P |01|SA1T10|D MG|DIVI0401","DIVI04","01","CLIENTE DIVINAL PF                      ","      ","01"
"P |01|SA1T10|D MG|DS398103","DS3981","03","DSERFAT-3981 OPP CLIENTE INCLUIR        ","      ","01"
"P |01|SA1T10|D MG|EAI05001","EAI050","01","TESTE EAI                               ","      ","01"
"P |01|SA1T10|D MG|EEC00101","EEC001","01","EEC_CLIENTE EXPORTACAO 001              ","      ","01"
"P |01|SA1T10|D MG|EIC_CO01","EIC_CO","01","EIC_CLIENTE CONTA E ORDEM               ","      ","01"
"P |01|SA1T10|D MG|EMAT0101","EMAT01","01","CLIENTE EMATER 01                       ","      ","01"
"P |01|SA1T10|D MG|EMP001","EMP0  ","01","FORNECEDOR EMPRESTIMO                   ","      ","01"
"P |01|SA1T10|D MG|EST00101","EST001","01","CLIENTE TRANSFERENCIA                   ","      ","01"
"P |01|SA1T10|D MG|EST00201","EST002","01","CLIENTE ESTOQUE                         ","      ","01"
"P |01|SA1T10|D MG|EST00301","EST003","01","NAO USAR (TESTES DE EMPENHOS)           ","      ","01"
"P |01|SA1T10|D MG|EST00401","EST004","01","NAO USAR (TESTES DE EMPENHO)            ","      ","01"
"P |01|SA1T10|D MG|EST00501","EST005","01","EST005_MATA215_CT001                    ","      ","01"
"P |01|SA1T10|D MG|EST00601","EST006","01","CLIENTE PRODUCAO TERCEIROS              ","      ","01"
"P |01|SA1T10|D MG|EST00701","EST007","01","EST007                                  ","      ","01"
"P |01|SA1T10|D MG|EST00801","EST008","01","CLIENTE TRANSFERENCIA ENTRE FILIAIS     ","      ","01"
"P |01|SA1T10|D MG|EST00901","EST009","01","CLIENTE TERCEIRO - BENEF - SQUAD ENTRADA","      ","01"
"P |01|SA1T10|D MG|EST01001","EST010","01","MTA190D1 - DEVOLUCAO                    ","      ","01"
"P |01|SA1T10|D MG|EST10001","EST100","01","CLIENTE ESTOQUE FILIAL 01               ","      ","01"
"P |01|SA1T10|D MG|EST10002","EST100","02","CLIENTE ESTOQUE FILIAL 02               ","      ","01"
"P |01|SA1T10|D MG|EST10003","EST100","03","CLIENTE ESTOQUE FILIAL 03               ","      ","01"
"P |01|SA1T10|D MG|ESTCLI01","ESTCLI","01","CLIENTE ESTOQUE 01                      ","      ","01"
"P |01|SA1T10|D MG|ESTSE000","ESTSE0","00","CLIENTE ESTOQUE E CUSTOS                ","      ","01"
"P |01|SA1T10|D MG|ESTSE101","ESTSE1","01","CLIENTE PADRAO 01                       ","      ","01"
"P |01|SA1T10|D MG|ESTSE201","ESTSE2","01","CLIENTE PADRAO ACD                      ","      ","01"
"P |01|SA1T10|D MG|ESTSE301","ESTSE3","01","ESTSE3                                  ","      ","01"
"P |01|SA1T10|D MG|ESTSE401","ESTSE4","01","ESTSE4                                  ","      ","01"
"P |01|SA1T10|D MG|ESTTER00","ESTTER","00","CLIENTE DE ENVIO DE ESTOQUE             ","      ","01"
"P |01|SA1T10|D MG|EX00101","EX001 ","01","EXPORTADOR                              ","      ","01"
"P |01|SA1T10|D MG|F0000101","F00001","01","CLIENTE FILIAL UBERABA                  ","      ","01"
"P |01|SA1T10|D MG|F1718801","F17188","01","DSERFINR-17188                          ","      ","01"
"P |01|SA1T10|D MG|F2201001","F22010","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|F2255401","F22554","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|F2374001","F23740","01","CLIENTE COM PCC E IR NA EMISSAO         ","      ","01"
"P |01|SA1T10|D MG|F2383101","F23831","01","CLIENTE PCC E IR                        ","      ","01"
"P |01|SA1T10|D MG|F2419601","F24196","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|F2442701","F24427","01","CLIENTE 24427                           ","      ","01"
"P |01|SA1T10|D MG|F2443901","F24439","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|F2448601","F24486","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|F2489201","F24892","01","CLIENTE COM PCC                         ","      ","01"
"P |01|SA1T10|D MG|F2492301","F24923","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|F2498201","F24982","01","CLIENTE COM TODOS OS IMPOSTOS           ","      ","01"
"P |01|SA1T10|D MG|F2500101","F25001","01","CLIENTE OFFLINE                         ","      ","01"
"P |01|SA1T10|D MG|F2500201","F25002","01","CLIENTE ONLINE                          ","      ","01"
"P |01|SA1T10|D MG|F2501201","F25012","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|F2508501","F25085","01","CLIENTE PADRAO                          ","      ","01"
"P |01|SA1T10|D MG|F2523301","F25233","01","CLIENTE PADRAO                          ","      ","01"
